day,period,room_id,course_id
0,0,rL,c0638
0,0,r38,c0044
0,0,rDS2,c0095
0,0,r36,c0080
0,0,rF,c0307
0,0,rB,c0252
0,0,rE,c0336
0,0,r52,c0295
0,0,r37,c0178
0,0,rA,c0313
0,0,rDS1,c0007
0,0,r50,c0219
0,0,r27,c0155
0,0,rG,c0238
0,1,rF,c0074
0,1,r50,c0044
0,1,r36,c0230
0,1,r31,c0307
0,1,r38,c0311
0,1,r27,c0015
0,1,rL,c0131
0,1,rDS1,c0095
0,1,rA,c0386
0,1,r37,c0238
0,1,rG,c0088
0,1,rD,c0336
0,1,rB,c0346
0,2,rD,c0156
0,2,rG,c0155
0,2,r52,c0336
0,2,r50,c0074
0,2,rA,c0111
0,2,rL,c0386
0,2,r36,c0307
0,2,rB,c0058
0,2,r31,c0346
0,2,r38,c0311
0,2,rDS1,c0088
0,2,r37,c0157
0,3,r31,c0633
0,3,r50,c0009
0,3,rE,c0480
0,3,rG,c0015
0,3,r27,c0219
0,3,rA,c0157
0,3,r36,c0322
0,3,r52,c0155
0,3,rDS1,c0315
0,3,rL,c0638
0,3,rB,c0119
0,3,r38,c0470
0,3,rD,c0110
0,3,rF,c0266
0,4,r27,c0368
0,4,rF,c0088
0,4,rL,c0266
0,4,rA,c0129
0,4,r36,c0602
0,4,r50,c0230
0,4,rE,c0110
0,4,rDS1,c0074
0,4,rG,c0366
0,4,rDS2,c0337
0,4,r37,c0304
1,1,rA,c0313
1,1,rDS2,c0304
1,0,r52,c0337
1,0,r36,c0314
1,0,rDS2,c0095
1,0,rE,c0152
1,0,r37,c0323
1,0,r31,c0023
1,0,rD,c0178
1,0,rL,c0638
1,0,rA,c0238
1,0,r38,c0298
1,0,rG,c0115
1,0,r50,c0044
1,0,rF,c0252
1,1,r50,c0366
1,1,rE,c0115
1,1,rD,c0297
1,1,r37,c0019
1,1,r38,c0056
1,1,rB,c0054
1,1,r27,c0206
1,1,rDS1,c0127
1,1,rG,c0327
1,1,r31,c0211
1,1,r52,c0201
1,0,rDS1,c0311
1,1,r36,c0156
1,1,rL,c0322
1,1,rF,c0602
1,2,rD,c0315
1,2,rDS2,c0201
1,2,r37,c0366
1,2,r38,c0323
1,2,r36,c0080
1,2,r50,c0054
0,5,r38,c0633
1,2,r31,c0156
1,2,r52,c0195
1,2,rL,c0368
1,2,rE,c0115
1,3,r27,c0323
1,3,r38,c0217
1,3,r31,c0455
1,3,r50,c0316
1,3,rF,c0298
1,3,rG,c0368
1,3,r52,c0113
1,3,rB,c0007
1,3,rDS2,c0297
1,3,rA,c0054
1,3,rD,c0559
1,3,r36,c0322
1,3,r37,c0193
1,3,rE,c0157
1,3,rL,c0295
1,4,rDS2,c0103
1,4,rB,c0455
1,4,rF,c0633
1,4,rE,c0076
1,4,r50,c0288
1,4,r37,c0155
1,4,rDS1,c0020
1,4,rA,c0157
1,4,rG,c0346
1,4,r52,c0023
1,4,r31,c0322
2,0,r27,c0388
2,2,r38,c0113
1,3,rDS1,c0302
2,0,rG,c0213
2,0,rD,c0467
2,0,rA,c0314
2,0,rB,c0326
2,0,rL,c0379
2,0,rDS2,c0056
2,0,rDS1,c0206
2,0,r52,c0295
2,0,r31,c0266
2,0,r50,c0602
2,0,r37,c0480
2,0,rF,c0127
2,0,r36,c0155
2,1,r36,c0326
2,1,r50,c0288
2,1,r27,c0019
2,1,rDS1,c0156
2,1,r37,c0007
2,1,r38,c0298
2,1,rDS2,c0252
2,1,rB,c0213
2,1,rA,c0552
2,1,r31,c0108
2,1,rE,c0366
2,1,r52,c0069
2,1,rF,c0178
2,1,rG,c0076
2,2,r27,c0129
2,1,rL,c0391
2,2,rA,c0366
2,2,rDS2,c0195
2,2,r36,c0019
2,2,rE,c0186
2,2,rB,c0298
2,2,rG,c0302
2,2,rDS1,c0552
2,2,rL,c0058
2,2,rD,c0076
2,3,rE,c0467
2,3,rD,c0219
2,3,r50,c0379
2,3,r52,c0297
2,3,rA,c0295
2,3,rDS1,c0111
2,3,r36,c0346
2,3,rDS2,c0304
2,3,rL,c0298
2,3,r31,c0157
2,3,r27,c0020
2,3,r37,c0156
2,3,rF,c0326
2,4,r31,c0186
2,4,rF,c0297
2,4,rG,c0023
2,4,r27,c0316
2,4,rE,c0058
2,4,rDS1,c0119
2,4,rL,c0327
2,4,r50,c0337
2,4,rB,c0193
2,4,r37,c0152
2,4,rD,c0310
3,0,rDS1,c0213
2,4,r52,c0552
1,5,r50,c0056
3,0,rF,c0206
3,0,rG,c0386
3,0,r31,c0315
3,0,r52,c0152
3,0,r37,c0127
3,0,r50,c0327
3,0,r36,c0633
3,0,r38,c0080
3,0,rL,c0346
3,0,rA,c0103
3,1,r37,c0061
3,1,rG,c0638
3,1,rL,c0211
3,1,rD,c0391
3,1,rA,c0310
3,1,r50,c0069
3,1,rF,c0314
3,1,rB,c0559
3,1,rE,c0110
3,1,r36,c0217
3,1,r38,c0119
3,1,r52,c0157
3,1,r27,c0108
3,1,rDS1,c0455
3,2,r27,c0304
3,2,rD,c0295
3,2,r50,c0054
3,2,r52,c0009
3,2,rDS2,c0113
3,2,r31,c0129
3,2,rF,c0322
3,2,rG,c0302
3,2,r38,c0297
3,2,rA,c0195
3,2,r37,c0316
3,2,rE,c0186
3,3,rB,c0470
3,3,rF,c0054
3,3,r27,c0633
3,3,rL,c0061
3,3,r38,c0156
3,3,rDS1,c0559
3,3,r36,c0155
3,2,rDS1,c0020
3,3,r31,c0388
3,3,rA,c0230
3,3,r52,c0157
3,4,rD,c0131
3,4,r38,c0279
3,4,rF,c0307
3,4,r31,c0088
3,4,r27,c0388
3,4,r52,c0217
3,4,rG,c0066
4,1,r27,c0108
4,1,r52,c0069
4,0,rDS1,c0061
4,0,r38,c0288
4,0,r52,c0103
4,0,rF,c0279
4,0,r27,c0388
4,0,rL,c0155
4,0,rB,c0211
4,1,rL,c0088
4,1,rDS2,c0391
4,1,rF,c0304
4,1,rG,c0066
4,1,r50,c0388
4,1,r36,c0470
4,1,rE,c0279
4,0,r31,c0009
4,2,r37,c0066
4,2,r50,c0310
4,2,r27,c0015
4,2,rB,c0379
4,2,r31,c0467
4,2,rDS1,c0131
4,3,r27,c0307
4,3,rG,c0480
4,3,r38,c0193
4,3,r31,c0111
4,3,rA,c0201
4,3,r37,c0156
4,3,rDS2,c0313
